"";"name";"ID";"agreement_start";"creditcardnr";"default";"date_of_default"
"1";"Raul Grant";"257-85-6796";1996-01-28;"9242-3359-6863-6554";0;NA
"2";"Malik Herzog";"804-10-1107";2003-01-11;"8079-1971-2162-6346";0;NA
"3";"Kent Gleason";"388-32-2241";1996-02-05;"1232-4521-7260-9083";0;NA
"4";"Molly Jewess";"878-31-1407";1990-06-27;"8314-2857-7946-2195";0;NA
"5";"Issac Heidenreich";"897-97-5787";1994-02-01;"3428-4030-4702-4679";0;NA
"6";"Teodora Hickle";"628-25-3081";2000-06-01;"7284-8705-5158-5821";1;"2014-08-18"
"7";"Debbi Schinner";"900-83-9300";2001-01-08;"4166-5767-1845-2512";0;NA
"8";"Peggie Doyle";"530-63-3434";1992-04-16;"7791-6134-1086-8243";0;NA
"9";"Leesa Shanahan";"336-17-2934";1991-11-11;"3147-1009-1609-3311";1;"2011-10-03"
"10";"Jacinto Hauck";"169-57-3960";2000-09-07;"7344-6484-5180-5344";0;NA
"11";"Syreeta Bartoletti";"496-14-5851";2000-11-20;"3525-2939-4713-6426";0;NA
"12";"Celina Davis";"913-10-3140";1992-07-20;"3522-5827-9288-5263";0;NA
"13";"Daryl Nienow";"603-63-6488";2003-07-05;"7353-2336-4453-8126";0;NA
"14";"Harris Fisher";"710-34-5316";1998-02-14;"6364-1720-8357-5739";0;NA
"15";"Mui Hyatt";"339-42-6900";1996-03-26;"4697-8614-2314-1892";0;NA
"16";"Farrah Pollich";"632-98-2328";2000-03-10;"9127-3732-4953-8298";1;"2015-11-11"
"17";"Cary Berge";"447-17-9329";2002-11-21;"3056-4674-6233-3806";0;NA
"18";"Pauline Prosacco";"249-77-8953";1993-06-18;"7727-9869-2115-7030";0;NA
"19";"Ayesha Keebler";"283-65-1697";1991-06-20;"9062-8442-8953-6901";0;NA
"20";"Erik Funk";"375-82-5554";1994-01-28;"8816-7573-2657-6646";0;NA
"21";"Lucia Hilll";"955-65-5396";2001-06-30;"4166-9767-9030-5105";0;NA
"22";"Demarcus Hintz";"610-66-8312";1998-05-04;"8958-8454-2551-3361";0;NA
"23";"Sherwood Cartwright";"841-72-9387";1992-04-23;"5882-7987-8098-3278";0;NA
"24";"Elwood Medhurst";"137-79-4126";2003-04-14;"5234-6874-2126-5282";0;NA
"25";"Maurice Mann";"762-25-6366";1995-01-31;"9001-3642-1555-1509";1;"2017-08-23"
"26";"Judith Botsford";"236-11-9621";1996-12-25;"7952-6362-8351-2695";0;NA
"27";"Nell Funk";"650-59-5767";2002-04-08;"7682-1693-3511-4956";0;NA
"28";"Leanna Stanton";"435-66-4521";2002-01-06;"4440-7321-3917-9759";0;NA
"29";"Hallie Stoltenberg";"450-86-7655";1998-10-02;"8227-3344-5038-3236";0;NA
"30";"Raphael Reinger";"144-38-8702";1990-06-17;"5707-5473-2461-4324";0;NA
"31";"Brendon Mann";"817-77-2152";1998-09-20;"9886-7707-7025-7127";0;NA
"32";"Eloy Tromp";"752-50-8169";1991-01-05;"6718-2649-8809-6471";0;NA
"33";"Elvin Von";"340-10-3751";1998-08-22;"1270-1660-7569-3289";0;NA
"34";"Rosalinda Wunsch";"198-27-8374";1994-12-14;"5100-8424-9000-3281";0;NA
