"";"ID";"value_mortgage";"value_nonmortgage"
"1";"257-85-6796";0;13578
"2";"804-10-1107";0;5205
"3";"388-32-2241";0;20998
"4";"878-31-1407";589827;11436
"5";"897-97-5787";264447;27342
"6";"628-25-3081";630643;9847
"7";"900-83-9300";538155;20425
"8";"530-63-3434";0;4816
"9";"336-17-2934";0;6144
"10";"169-57-3960";359629;19749
"11";"496-14-5851";0;19584
"12";"913-10-3140";0;419
"13";"603-63-6488";0;18461
"14";"710-34-5316";0;6598
"15";"339-42-6900";0;18752
"16";"632-98-2328";0;27162
"17";"447-17-9329";0;800
"18";"249-77-8953";476077;9499
"19";"283-65-1697";0;4638
"20";"375-82-5554";0;28395
"21";"955-65-5396";0;2279
"22";"610-66-8312";0;11212
"23";"841-72-9387";340506;4875
"24";"137-79-4126";0;1377
"25";"762-25-6366";0;1969
"26";"236-11-9621";481962;15337
"27";"650-59-5767";1099395;11399
"28";"435-66-4521";0;2167
"29";"450-86-7655";390700;17134
"30";"144-38-8702";0;4553
"31";"817-77-2152";0;4233
"32";"752-50-8169";0;14330
"33";"340-10-3751";0;4990
"34";"198-27-8374";0;4413
"35";"543-83-6047";610117;7100
"36";"674-15-7084";0;4136
"37";"567-39-3597";733392;12152
"38";"437-77-3424";0;8812
"39";"398-65-7489";0;1985
"40";"568-97-3970";0;5718
"41";"487-85-6264";0;4242
"42";"395-54-2319";0;16887
"43";"606-98-3522";336720;7319
"44";"587-53-8662";1120652;7300
"45";"643-45-6086";0;6607
"46";"110-36-8802";0;6973
"47";"938-48-5521";1221850;10439
"48";"357-57-8442";0;5487
"49";"964-28-4850";258003;2056
"50";"548-88-6391";419525;12237
"51";"574-11-3462";440908;31114
"52";"581-48-3115";456738;9082
"53";"887-40-8636";0;1289
"54";"581-19-3576";709402;11994
"55";"280-70-6208";0;6593
"56";"629-18-3059";0;20906
"57";"341-38-5159";378146;2978
"58";"518-25-9221";0;3312
"59";"916-99-9234";0;9367
"60";"473-60-9299";627418;4399
"61";"378-87-3142";0;26870
"62";"682-89-6002";291053;7359
"63";"852-47-8299";0;8170
"64";"918-36-6261";0;12934
"65";"847-55-1005";0;3427
"66";"620-74-3650";0;8358
